             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
           7348270 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348271 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348272 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348273 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348274 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348275 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348276 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348277 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348278 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348279 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348280 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348281 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348282 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348283 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348284 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348285 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348286 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348287 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348288 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348289 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348290 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348291 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348292 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348293 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348294 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348295 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348296 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348297 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348298 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348299 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348300 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348301 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348302 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348303 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348304 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348305 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348306 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348307 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348308 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348309 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348310 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348311 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348312 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348313 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348314 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348315 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348316 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
           7348317 general-c DRM_D_c2 abbasriz PD       0:00      1 (Priority)
